Folder,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral,,,,,,,,,Happy,Angry,Neutral,Fear,Surprise,Sad,Disgust,Total,,,Class,Precision,Recall,F1-Score,Accuracy
Fotos1000_Fear,sad,1.5252471797214533,0.000127697,322.06959756584905,0.007361686,748.7412089917709,0.019850136839919135,27.636594639353625,,,,,,,,Happy,4,0,0,0,0,0,0,4,,0,Happy,1,1,1,
Fotos10_Happy,happy,238.2642616264416,56.68962105472586,1064.7554482191128,2716.1029761549567,411.1521148740263,226.07147958919714,186.96413655809852,,,,,,,,Angry,0,1,0,1,0,1,0,3,,1,Angry,1,0.3333333333333333,0.5,
Fotos11000_Neutral,neutral,176.32782631914188,0.001131132,39.98657980113116,0.22891674782347962,871.2812814340723,0.024363206078602834,1312.1499057305555,,,,,,,,Neutral,0,0,2,0,0,0,0,2,,2,Neutral,0.6666666666666666,1,0.8,
Fotos11_Fear,surprise,51.976750999564565,9.767606057038662e-05,274.0645670724497,0.2922208864362918,546.3561401592377,3584.268465898853,243.0418081247699,,,,,,,,Fear,0,0,0,1,2,1,0,4,,3,Fear,0.5,0.25,0.3333333333333333,
Fotos1_Surprise12,surprise,39.050132605828146,0.002539192,547.3520799543107,1158.776199508399,119.45312639399894,5493.311309057111,1242.054628905578,,,,,,,,Surprise,0,0,1,0,1,0,0,2,,4,Surprise,0.3333333333333333,0.5,0.4,
Fotos2_Angry,fear,428.38070541485894,682.9638973437942,2458.8342423148074,3.3050298996403566,1555.7239047873393,384.27529721505306,286.5168941627639,,,,,,,,Sad,0,0,0,0,0,4,0,4,,5,Sad,0.4444444444444444,1,0.6153846153846153,
Fotos2_Angry21,sad,887.3969146089429,0.7740273501388788,1801.813163786739,205.7317437459866,3877.7687563333275,49.23963244689969,177.27583475695837,,,,,,,,Disgust,0,0,0,0,0,3,0,3,,6,Disgust,0,0,0,
Fotos3_Sad11,sad,1039.76154,1.087141858400858,1314.893961723404,0.9657578444714401,2633.9599444376486,11.015965453245157,98.31579064078521,,,,,,,,Total,4,1,3,2,3,9,0,22,,7,General,,,,0.5909090909090909
Fotos3_Surprise,neutral,413.4407633818759,0.15444497345537436,935.9414902779645,728.0625959,238.8139394449402,1844.6907756009139,2038.8960321921875,,,,,,,,,,,,,,,,,,,,,,,
Fotos4_Happy,happy,214.17621045290446,2.038699565941607,614.9329717350042,1920.9448515036872,571.8456492426261,59.142537618333805,316.9190993468507,,,,,,,,,,,,,,,,,,,,,,,
Fotos4_Sad,sad,231.37289245516482,24.649578508840037,1431.5322262881587,1.6496046131231157,2345.4330261273394,5.8888197402813365,59.473912604129225,,,,,,,,,,,,,,,,,,,,,,,
Fotos5_Fear11,fear,180.53693451701358,0.001576166,2082.308636419501,0.009362455,1548.6094413290307,171.24699781338296,217.28709500948605,,,,,,,,,,,,,,,,,,,,,,,
Fotos5_Neutral,neutral,1543.4184128589602,25.669115208017974,623.3173773790311,112.02967192258947,2032.2878980448427,43.67365535029654,3719.603877102257,,,,,,,,,,,,,,,,,,,,,,,
Fotos6_Disguss,sad,865.7297528534203,22.05252628043802,2076.2230641323818,53.8241008,3112.955408187886,64.79179829,604.4234010869346,,,,,,,,,,,,,,,,,,,,,,,
Fotos6_Disguss22,sad,240.10335157015825,0.003670506,928.9449791272892,0.035246861,2783.838163543583,3.942462010167012,143.13214528728307,,,,,,,,,,,,,,,,,,,,,,,
Fotos7_Fear,surprise,42.69189820482779,0.006687878,694.1688934000283,24.38212373546655,237.3371657867288,747.2529697053866,454.16025489544484,,,,,,,,,,,,,,,,,,,,,,,
Fotos8_Angry,angry,2024.2301504905179,1031.736618739464,286.48558398768563,301.6870955751279,1470.1092575963623,32.07158238440628,253.67973016350913,,,,,,,,,,,,,,,,,,,,,,,
Fotos900_disguss,sad,1053.8143932090334,12.859169387011155,292.13948098311016,38.97809169,1098.4767539076486,3.7587747487301737,799.9733932014311,,,,,,,,,,,,,,,,,,,,,,,
Fotos9_Sad,sad,526.2510663173114,5.956596449649839,2382.329575826318,0.4740879424032522,2389.4251721562086,13.169152061185011,82.39435925,,,,,,,,,,,,,,,,,,,,,,,
Fotos_Happy,happy,55.49785634276879,0.030644705,103.01624952561079,1338.789180622776,514.4350790793912,10.249787823183633,777.9812132013091,,,,,,,,,,,,,,,,,,,,,,,
Fotos_Happy1,happy,428.4515649186583,52.52126174101902,160.04393527693355,1728.9256002252803,1722.5123032402178,25.205812754351964,282.33956895255847,,,,,,,,,,,,,,,,,,,,,,,
Foto_Sad,sad,67.11516706203159,0.008529342,177.59761888240175,21.357789135094404,1161.5321721296914,0.19322212144247733,1072.1954798116574,,,,,,,,,,,,,,,,,,,,,,,
